30	1	2670	305	3000	4633256
60	1	2092	286	3000	4633256
90	1	872	94	3000	4633256
120	1	924	99	3000	4633256
150	1	921	99	3000	4633256
180	1	920	99	3000	4633256
210	1	922	99	3000	4633256
240	1	921	99	3000	4633256
270	1	922	99	3000	4633256
300	1	921	99	3000	4633256
330	1	922	99	3000	4633256
360	1	912	195	3000	4633256
390	1	845	181	3000	4633256
420	1	779	167	3000	4633256
450	1	712	153	3000	4633256
480	1	645	138	3000	4633256
510	1	579	124	3000	4633256
540	1	513	110	3000	4633256
570	1	480	103	3000	4633256
600	1	458	98	3000	4633256
630	1	457	98	3000	4633256
660	1	474	102	3000	4633256
690	1	473	101	3000	4633256
720	1	472	102	3000	4633256
750	1	474	102	3000	4633256
780	1	474	102	3000	4633256
810	1	474	102	3000	4633256
840	1	474	102	3000	4633256
870	1	473	102	3000	4633256
900	1	474	102	3000	4633256
930	1	474	102	3000	4633256
960	1	473	102	3000	4633256
990	1	475	102	3000	4633256
1020	1	473	102	3000	4633256
1050	1	474	102	3000	4633256
1080	1	474	102	3000	4633256
1110	1	474	102	3000	4633256
1140	1	473	102	3000	4633256
1170	1	474	102	3000	4633256
1200	1	474	102	3000	4633256
1230	1	474	102	3000	4633256
1260	1	474	102	3000	4633256
1290	1	474	102	3000	4633256
1320	1	473	102	3000	4633256
1350	1	475	102	3000	4633256
1380	1	472	102	3000	4633256
