30	1	2417	100.0469	3000	24158662
60	1	2417	100.0469	3000	24158662
90	1	2425	99.46463	3000	24380526
120	2	2787	114.3125	3000	24380526
150	2	2777	113.9024	3000	24380526
180	3	2687	110.0008	3000	24427100
210	3	2694	110.2873	3000	24427100
240	3	2685	110.0434	3000	24399460
270	4	1221	50.04209	3000	24399460
300	4	1192	48.85354	3000	24399460
330	4	1224	50.16504	3000	24399460
360	4	1223	50.12406	3000	24399460
390	4	1210	49.59126	3000	24399460
420	4	1224	50.16504	3000	24399460
450	4	1224	50.16504	3000	24399460
480	4	1223	50.12406	3000	24399460
510	4	1201	49.2224	3000	24399460
540	4	1221	50.04209	3000	24399460
570	4	1216	49.83717	3000	24399460
600	4	1218	49.91914	3000	24399460
630	4	1221	50.04209	3000	24399460
660	4	1219	49.96012	3000	24399460
690	4	1225	50.20603	3000	24399460
720	4	1214	49.7552	3000	24399460
750	4	1223	50.12406	3000	24399460
780	4	1229	50.36997	3000	24399460
