30	0	995	100	3000	5368755
60	0	1000	100	3000	5368755
90	0	996	100	3000	5368755
120	0	998	100	3000	5368755
150	0	997	100	3000	5368755
180	0	997	100	3000	5368755
210	0	996	100	3000	5368755
240	0	998	100	3000	5368755
270	0	995	100	3000	5368755
300	0	995	100	3000	5368755
330	0	999	100	3000	5368755
360	0	994	100	3000	5368755
390	0	1001	100	3000	5368755
420	0	994	100	3000	5368755
450	0	994	100	3000	5368755
480	0	1000	100	3000	5368755
510	0	995	100	3000	5368755
540	0	1000	100	3000	5368755
570	0	1000	100	3000	5368755
600	0	997	100	3000	5368755
630	0	998	100	3000	5368755
660	0	998	100	3000	5368755
690	0	996	100	3000	5368755
720	0	996	100	3000	5368755
750	0	999	100	3000	5368755
